age,income,tenure,district,profit15,online15,billpay15,profit16,online16,billpay16
4,6,6.33,2,21,0,0,NA,NA,NA
6,3,29.5,2,-6,0,0,-32,0,0
5,5,26.41,1,-49,1,0,-22,1,0
2,6,2.25,2,-4,0,0,NA,NA,NA
2,9,9.91,2,-61,0,0,-4,0,0
4,3,2.33,3,-38,0,0,14,0,0
3,1,8.41,3,-19,0,0,0,0,0
5,8,7.33,2,59,0,0,-65,0,0
4,9,15.33,2,493,0,0,855,0,0
6,8,4.33,1,-158,0,0,-20,0,0
6,3,13.5,2,395,0,0,67,0,0
6,1,6.25,2,-62,0,0,-60,0,0
7,6,17.41,2,-124,0,0,-128,0,0
4,3,0.58,2,32,0,0,NA,NA,NA
4,9,14.66,2,-28,0,0,71,1,1
4,7,26.66,1,632,0,0,808,0,0
3,8,9,2,-135,1,0,-120,0,0
3,5,9.41,2,-60,0,0,-60,0,0
3,7,4.16,2,-92,0,0,-80,0,0
4,8,22.16,2,68,0,0,1,0,0
4,7,8.66,3,26,0,0,224,0,0
3,6,2.41,2,-28,0,0,NA,NA,NA
3,4,4.75,2,-6,0,0,-22,1,1
4,3,6.83,1,43,0,0,42,0,0
4,6,18.91,3,698,0,0,680,0,0
2,7,1.66,2,-50,0,0,NA,NA,NA
4,6,8.66,2,-27,0,0,-33,0,0
2,3,6.33,2,-14,1,1,NA,NA,NA
4,5,4.83,2,-36,0,0,NA,NA,NA
4,3,22.5,3,14,1,0,NA,NA,NA
6,7,8.41,2,-18,0,0,-21,0,0
5,8,6.25,2,-130,0,0,-112,0,0
7,3,14.08,2,-71,0,0,-28,0,0
4,6,29.5,2,291,0,0,614,0,0
4,4,5,2,7,0,0,-19,0,0
2,1,2.5,2,-32,0,0,1,0,0
7,9,31.83,2,533,0,0,NA,NA,NA
4,7,8.58,2,88,0,0,7,0,0
3,6,4.33,2,-162,0,0,-83,0,0
2,6,6.58,2,900,0,0,534,0,0
4,3,13.83,2,383,0,0,NA,NA,NA
4,4,20.41,3,-95,1,0,-111,1,0
4,7,17.91,2,88,1,0,-116,1,0
2,7,6.16,2,-49,0,0,259,0,0
4,6,2.5,2,-8,0,0,-31,0,0
5,6,8.75,2,32,0,0,63,0,0
3,5,0.16,2,259,0,0,795,0,0
6,9,1.16,2,512,0,0,-45,0,0
4,8,1.66,2,-27,0,0,NA,NA,NA
6,6,40,1,-1,0,0,37,0,0
4,7,8.75,2,313,0,0,258,0,0
7,3,19.16,2,205,0,0,136,0,0
3,4,0.75,1,5,1,0,NA,NA,NA
5,7,7.33,2,367,0,0,387,0,0
2,6,6.58,3,-48,1,0,-45,1,0
5,3,29,2,97,0,0,141,0,0
