,Y,E1,E2,E3,E4,E5,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15
1,9.970211882,0.834277952,1.620981099,1.105783439,0.25315619,1.312784669,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0
2,9.979651017,0.406472198,-0.72327093,-0.839086769,0.281834085,-0.945288623,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1
3,10.16109997,0.308788699,2.29373839,1.399892178,-0.180651154,-0.01581409,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0
4,9.940755089,1.278979613,1.071072696,0.928488777,-1.188996813,0.882446897,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
5,9.931168826,-0.231925919,-2.514136542,0.116316933,0.939512179,-0.567942239,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1
6,9.870444883,-0.15994884,-1.759382533,-0.174932011,1.364950262,-0.372918624,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0
7,9.861842972,0.354576773,-0.01831064,-0.393135973,1.360744853,1.627278894,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1
8,9.959912432,-0.637823412,-0.757320103,0.955497048,-0.63806241,-1.481912659,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0
9,10.03957736,0.482338088,-1.777432664,-0.890709655,0.770060713,-1.130424129,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
10,9.923157168,1.375997951,-0.547190292,-1.533779168,0.205562343,0.430590952,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
11,9.938524836,0.30252997,0.589444869,0.19713925,0.535867597,0.40595734,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0
12,9.993426279,0.406361922,-0.720494601,2.039566374,-0.339422508,0.232867595,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13,9.987759642,-1.067818825,0.665563366,0.414213296,-0.916025777,-0.866736042,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1
