"","MSFT","IBM"
"1",47.295963,132.650375
"2",48.558327,137.86264
"3",49.640347,139.772003
"4",50.969158,144.58609
"5",53.693203,146.658356
"6",53.797611,145.346191
"7",55.012516,147.952362
"8",54.993538,146.549744
"9",54.689804,146.072144
"10",55.422245,144.502243
"11",55.078415,145.624924
"12",53.684036,142.101791
"13",54.677299,140.413254
"14",54.849205,141.453766
"15",55.011574,144.986023
"16",55.202579,142.083557
"17",54.839653,140.970016
"18",56.978996,136.570694
"19",57.179558,139.290619
"20",56.07169,139.126297
"21",56.36776,147.194763
"22",57.637989,147.71965
"23",58.200436,150.252396
"24",56.9697,147.378891
"25",59.585018,153.365402
"26",59.902313,153.558807
"27",60.806145,153.540405
"28",59.74847,152.877274
"29",60.421535,156.137619
"30",60.286926,154.120605
"31",60.32539,157.077042
"32",63.24839,163.293823
"33",61.229214,161.930725
"34",61.5369,164.564774
"35",62.133038,167.713287
"36",62.509712,168.344543
"37",62.151794,167.137772
"38",62.809586,165.076965
"39",62.751553,163.053314
"40",62.85796,161.363831
"41",63.709213,161.651596
"42",63.535107,159.795044
"43",62.828934,157.372192
"44",64.231583,148.878403
"45",66.224304,148.79483
"46",66.746674,143.930649
"47",66.146919,139.586273
"48",65.479462,142.458984
"49",68.063232,142.937057
"50",69.814438,142.524612
"51",68.413467,144.446167
"52",68.10215,145.645981
"53",69.279343,144.455536
"54",67.061157,144.193085
"55",67.57679,143.358841
"56",70.806778,144.577423
"57",71.789398,137.865952
"58",71.059731,135.250732
"59",70.709488,136.066238
"60",70.53437,132.954208
"61",70.524643,132.331833
"62",71.223145,136.158737
"63",72.318604,136.48082
"64",72.357719,134.936783
"65",73.658554,137.181793
"66",72.77829,137.475449
"67",72.856537,137.428055
"68",74.33342,138.754227
"69",75.790749,139.341537
"70",77.081795,153.521973
"71",81.97216,145.574493
"72",82.294922,143.585251
"73",82.030853,141.292892
"74",80.593079,142.523376
"75",81.843193,145.269165
"76",82.826172,148.062805
"77",82.727882,148.110641
"78",85.372101,145.900604
"79",84.054901,145.900604
"80",84.084389,146.780777
"81",86.689301,155.458298
"82",88.07531,156.08017
"83",88.468498,155.343491
"84",92.459412,160.098419
"85",90.218201,152.148026
"86",86.679474,143.040009
"87",90.434464,150.892517
"88",92.893738,150.254883
"89",91.896263,149.259735
"90",95.342987,153.91655
"91",93.42704,154.834396
"92",86.099037,143.849335
"93",90.138329,148.235611
"94",89.111229,145.472473
"95",91.925888,151.404602
"96",93.822075,139.9944
"97",94.631912,141.52092
"98",93.980095,139.037933
"99",96.488602,139.260132
"100",95.165222,140.747437
"101",97.561462,140.317627
"102",99.971733,138.666702
"103",100.804909,142.759781
"104",99.317093,142.02713
"105",99.594818,138.012207
